干员,主能力,副能力,怪物抗性,,,暴击伤害,非暴击伤害,期望伤害,次数,技能名,增益1,增益2,增益3,增益4,增益5,增益6,增益7,增益8,增益9,增益10,增益11,增益12,增益13,增益14,增益15,倍率,攻击加成,即时攻击,暴击,暴击伤害,伤害加成,源石技艺加成,增幅加成,脆弱加成,易伤加成,失衡易伤加成,抗性,连击加成,特殊加成
点剑定位信标3锻,源石技艺,1.7667,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
套装,终结技充能,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
旧锋,物理加成,0.6445,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
食物,灼热加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
清炖兽排参须汤,电磁加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,寒冷加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,自然加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,失衡加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,普攻加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,战技加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,连携技加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,终结技加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,主属性加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,副属性加成,0,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,额外固定攻击,180,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
,,,,,,0,0,0,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.08,5196.6288,0.16,1.5,0.6445,0,0,0,0,0,0,0,0
