,攻击,力量,敏捷,智识,意志,暴击,暴击伤害,源石技艺强度,终结技充能效率,物理加成,灼热加成,电磁加成,寒冷加成,自然加成,普攻加成,失衡加成,战技加成,连携技加成,终结技加成,攻击力加成,主属性,副属性
M.I.警用工具组0锻,,,21,32,,0.1035,,,,,,,,,,,,,,,,
M.I.警用工具组3锻,,,27,41,,0.13455,,,,,,,,,,,,,,,,
M.I.警用刺刃0锻,,,,21,32,,,,,,0.23,,,0.23,,,,,,,,
M.I.警用刺刃3锻,,,,27,41,,,,,,0.299,,,0.299,,,,,,,,
M.I.警用刺刃·壹型0锻,,,21,,32,,,,,,,,,,,,0.414,,,,,
M.I.警用刺刃·壹型3锻,,,27,,41,,,,,,,,,,,,0.5382,,,,,
M.I.警用臂环0锻,,32,,,21,,,,,,,0.23,0.23,,,,,,,,,
M.I.警用臂环3锻,,41,,,27,,,,,,,0.299,0.299,,,,,,,,,
M.I.警用瞄具0锻,,21,32,,,,,,,,,,,,,,0.414,,,,,
M.I.警用瞄具3锻,,27,41,,,,,,,,,,,,,,0.5382,,,,,
M.I.警用瞄具·壹型0锻,,,32,21,,0.1035,,,,,,,,,,,,,,,,
M.I.警用瞄具·壹型3锻,,,41,27,,0.13455,,,,,,,,,,,,,,,,
纾难印章0锻,,,,43,,,,,0.257142857142857,,,,,,,,,,,,,
纾难印章3锻,,,,55,,,,,0.3342857,,,,,,,,,,,,,
纾难印章·壹型0锻,,,,,43,0.108,,,,,,,,,,,,,,,,
纾难印章·壹型3锻,,,,,55,0.1404,,,,,,,,,,,,,,,,
纾难识别牌0锻,,43,,,,,,,,,,,,,,,,,,,,
纾难识别牌3锻,,55,,,,,,,,,,,,,,,,,,,,
纾难识别牌·壹型0锻,,,43,,,,,,,,,,,,,,,0.432,,,,
纾难识别牌·壹型3锻,,,55,,,,,,,,,,,,,,,0.5616,,,,
长息蓄电核0锻,,21,,32,,,,,0.246428571428571,,,,,,,,,,,,,
长息蓄电核3锻,,27,,41,,,,,0.32035714,,,,,,,,,,,,,
长息蓄电核·壹型0锻,,,,32,21,,,,,,,,,,,,,,,,,
长息蓄电核·壹型3锻,,,,41,27,,,,,,,,,,,,,,,,,
长息辅助臂0锻,,,,21,32,,,,0.246428571428571,,,,,,,,,,,,,
长息辅助臂3锻,,,,27,41,,,,0.32035714,,,,,,,,,,,,,
碾骨面具0锻,,21,32,,,,,,,,,,,,,0.414,,,,,,
碾骨面具3锻,,27,41,,,,,,,,,,,,,0.5382,,,,,,
碾骨面具·壹型0锻,,21,32,,,0.1035,,,,,,,,,,,,,,,,
碾骨面具·壹型3锻,,27,41,,,0.13455,,,,,,,,,,,,,,,,
碾骨面具·贰型0锻,,21,32,,,,,,,,,,,,,,0.414,,,,,
碾骨面具·贰型3锻,,27,41,,,,,,,,,,,,,,0.5382,,,,,
碾骨小雕像0锻,,,21,,32,,,,,,,,,,,,0.414,,,,,
碾骨小雕像3锻,,,27,,41,,,,,,,,,,,,0.5382,,,,,
碾骨小雕像·壹型0锻,,,,21,32,,,,,,,,,,,,,0.414,,,,
碾骨小雕像·壹型3锻,,,,27,41,,,,,,,,,,,,,0.5382,,,,
碾骨小雕像·贰型0锻,,,,21,32,,,,,,,,,,,,0.414,,,,,
碾骨小雕像·贰型3锻,,,,27,41,,,,,,,,,,,,0.5382,,,,,
轻超域分析环0锻,,32,,,21,,,,,0.23,,,,,,,,,,,,
轻超域分析环3锻,,41,,,27,,,,,0.299,,,,,,,,,,,,
轻超域稳定盘0锻,,21,32,,,,,0.414,,,,,,,,,,,,,,
轻超域稳定盘3锻,,27,41,,,,,0.5382,,,,,,,,,,,,,,
轻超域稳定盘·壹型0锻,,21,32,,,,,,,0.23,,,,,,,,,,,,
轻超域稳定盘·壹型3锻,,27,41,,,,,,,0.299,,,,,,,,,,,,
轻超域腕表0锻,,32,21,,,,,,,,,,,,,,0.414,,,,,
轻超域腕表3锻,,41,27,,,,,,,,,,,,,,0.5382,,,,,
拓荒通信器0锻,,32,21,,,,,,,,,,,,,,,0.414,,,,
拓荒通信器3锻,,41,27,,,,,,,,,,,,,,,0.5382,,,,
拓荒通信器·壹型0锻,,32,,21,,,,,,,,0.23,0.23,,,,,,,,,
拓荒通信器·壹型3锻,,41,,27,,,,,,,,0.299,0.299,,,,,,,,,
拓荒增量供氧栓0锻,,,32,21,,,,,,,,,,,,,,,,,,0.207017835010977
拓荒增量供氧栓3锻,,,41,27,,,,,,,,,,,,,,,,,,0.2691232
拓荒增量供氧栓·壹型0锻,,,21,32,,,,,,,,,,,,,,,,,,0.207017835010977
拓荒增量供氧栓·壹型3锻,,,27,41,,,,,,,,,,,,,,,,,,0.2691232
拓荒分析仪0锻,,41,,,,,,,,,,,,,,,,,0.5175,,,
拓荒分析仪3锻,,53,,,,,,,,,,,,,,,,,0.67275,,,
拓荒供氧栓0锻,,,,,41,,,,,0.23,,,,,,,,,,,,
拓荒供氧栓3锻,,,,,53,,,,,0.299,,,,,,,,,,,,
脉冲式校准器0锻,,,,41,,,,0.414,,,,,,,,,,,,,,
脉冲式校准器3锻,,,,53,,,,0.5382,,,,,,,,,,,,,,
脉冲式探针0锻,,,21,32,,,,0.414,,,,,,,,,,,,,,
脉冲式探针3锻,,,27,41,,,,0.5382,,,,,,,,,,,,,,
脉冲式侵入核0锻,,,,,41,,,,,,,,,,,,,,0.5175,,,
脉冲式侵入核3锻,,,,,53,,,,,,,,,,,,,,0.67275,,,
50式应龙雷达0锻,,32,,,21,,,,,0.23,,,,,,,,,,,,
50式应龙雷达3锻,,41,,,27,,,,,0.299,,,,,,,,,,,,
50式应龙雷达·壹型0锻,,21,32,,,,,,,,,,,,,,,,0.5175,,,
50式应龙雷达·壹型3锻,,27,41,,,,,,,,,,,,,,,,0.67275,,,
50式应龙雷达·贰型0锻,,,32,21,,,,,,,,,,,,,,0.414,,,,
50式应龙雷达·贰型3锻,,,41,27,,,,,,,,,,,,,,0.5382,,,,
50式应龙短刃0锻,,,21,,32,,,,,,,,,,,,,0.414,,,,
50式应龙短刃3锻,,,27,,41,,,,,,,,,,,,,0.5382,,,,
50式应龙短刃·壹型0锻,,21,,32,,,,,,,,,,,,,0.276,0.276,0.276,,,
50式应龙短刃·壹型3锻,,27,,41,,,,,,,,,,,,,0.3588,0.3588,0.3588,,,
悬河供氧栓0锻,,32,,,21,,,,,,,0.23,0.23,,,,,,,,,
悬河供氧栓3锻,,41,,,27,,,,,,,0.299,0.299,,,,,,,,,
浊流切割炬0锻,,21,,32,,,,,,,,,,,0.276,,,,,,,
浊流切割炬3锻,,27,,41,,,,,,,,,,,0.3588,,,,,,,
壤流短棍0锻,,,,21,32,,,,,,,,,,,,0.414,,,,,
壤流短棍3锻,,,,27,41,,,,,,,,,,,,0.5382,,,,,
清波定位仪0锻,,21,32,,,,,,,,,,,,,,0.414,,,,,
清波定位仪3锻,,27,41,,,,,,,,,,,,,,0.5382,,,,,
清波定位仪·壹型0锻,,21,32,,,,,,,0.23,,,,,,,,,,,,
清波定位仪·壹型3锻,,27,41,,,,,,,0.299,,,,,,,,,,,,
清波竹刃0锻,,32,21,,,,,,,,0.23,,,0.23,,,,,,,,
清波竹刃3锻,,41,27,,,,,,,,0.299,,,0.299,,,,,,,,
清波水罐0锻,,,,32,21,,,0.414,,,,,,,,,,,,,,
清波水罐3锻,,,,41,27,,,0.5382,,,,,,,,,,,,,,
旧锋刺刃0锻,,32,,,21,,,,,0.23,,,,,,,,,,,,
旧锋刺刃3锻,,41,,,27,,,,,0.299,,,,,,,,,,,,
旧锋刺刃·壹型0锻,,21,32,,,,,,,0.23,,,,,,,,,,,,
旧锋刺刃·壹型3锻,,27,41,,,,,,,0.299,,,,,,,,,,,,
